,carat,cut,color,clarity,depth,table,price,x,y,z,cut_int,color_int,clarity_int,carat_category
12161,1.7,Ideal,I,SI1,62.4,56.0,11228,7.68,7.64,4.78,5,2,2,"(1.06, 1.92]"
12162,1.24,Ideal,F,VS1,61.5,54.0,10138,6.93,6.89,4.25,5,5,4,"(1.06, 1.92]"
12163,1.32,Very Good,H,SI2,63.0,59.0,6085,6.91,6.99,4.38,3,3,3,"(1.06, 1.92]"
12164,0.41,Good,G,SI2,63.7,55.0,732,4.75,4.7,3.01,2,4,3,"(0.196, 1.06]"
12165,0.38,Ideal,D,VS1,62.0,57.0,942,4.7,4.69,2.91,5,7,4,"(0.196, 1.06]"
12166,0.7,Good,G,SI1,64.0,55.0,1915,5.59,5.62,3.59,2,4,2,"(0.196, 1.06]"
12167,0.36,Ideal,D,SI1,62.0,56.0,851,4.61,4.55,2.84,5,7,2,"(0.196, 1.06]"
12168,0.73,Ideal,E,VS2,62.7,56.0,3077,5.75,5.8,3.62,5,6,5,"(0.196, 1.06]"
12169,0.9,Ideal,G,VS2,61.7,56.0,4773,6.19,6.26,3.84,5,4,5,"(0.196, 1.06]"
12170,1.08,Very Good,G,VVS2,63.1,56.0,7862,6.58,6.51,4.13,3,4,7,"(1.06, 1.92]"
12171,0.52,Ideal,E,VS2,60.5,56.0,1897,5.27,5.21,3.17,5,6,5,"(0.196, 1.06]"
12172,0.34,Ideal,E,SI2,61.3,55.0,454,4.49,4.52,2.76,5,6,3,"(0.196, 1.06]"
12173,1.71,Very Good,I,VS2,62.8,59.0,11850,7.52,7.58,4.74,3,2,5,"(1.06, 1.92]"
12174,1.0,Very Good,H,SI1,63.6,54.0,4467,6.33,6.37,4.04,3,3,2,"(0.196, 1.06]"
12175,0.59,Ideal,G,VVS2,62.2,56.0,1966,5.37,5.4,3.35,5,4,7,"(0.196, 1.06]"
12176,0.8,Ideal,D,SI1,62.7,57.0,3564,5.88,5.92,3.7,5,7,2,"(0.196, 1.06]"
12177,0.65,Very Good,I,VVS1,61.8,56.0,1801,5.53,5.57,3.43,3,2,6,"(0.196, 1.06]"
12178,1.06,Ideal,I,VS2,60.3,57.0,5516,6.61,6.66,4.01,5,2,5,"(0.196, 1.06]"
12179,1.7,Good,G,VS1,63.5,56.0,14445,7.53,7.64,4.82,2,4,4,"(1.06, 1.92]"
12180,2.05,Premium,G,SI2,58.7,60.0,17988,8.4,8.32,4.91,4,4,3,"(1.92, 2.78]"
12181,0.58,Ideal,F,SI1,62.2,57.0,1705,5.37,5.33,3.33,5,5,2,"(0.196, 1.06]"
12182,0.59,Ideal,G,VS2,61.7,55.0,2159,5.38,5.41,3.33,5,4,5,"(0.196, 1.06]"
12183,1.01,Very Good,F,SI2,62.2,58.0,4121,6.36,6.4,3.97,3,5,3,"(0.196, 1.06]"
12184,0.33,Ideal,F,VS2,61.2,54.0,666,4.47,4.49,2.74,5,5,5,"(0.196, 1.06]"
12185,0.32,Ideal,F,VVS1,61.8,55.0,990,4.41,4.36,2.71,5,5,6,"(0.196, 1.06]"
12186,0.9,Ideal,I,SI1,61.6,55.0,3908,6.2,6.22,3.82,5,2,2,"(0.196, 1.06]"
12187,1.71,Ideal,E,SI2,61.9,57.0,11816,7.69,7.65,4.75,5,6,3,"(1.06, 1.92]"
12188,0.34,Ideal,D,VVS2,60.1,57.0,918,4.54,4.58,2.74,5,7,7,"(0.196, 1.06]"
12189,0.5,Premium,H,IF,60.3,58.0,1846,5.14,5.18,3.11,4,3,8,"(0.196, 1.06]"
12190,0.53,Very Good,G,VS2,60.1,59.0,1449,5.22,5.26,3.15,3,4,5,"(0.196, 1.06]"
12191,0.33,Ideal,E,VVS1,61.9,57.0,1374,4.46,4.43,2.75,5,6,6,"(0.196, 1.06]"
12192,0.33,Ideal,H,VS1,61.5,56.0,743,4.47,4.44,2.74,5,3,4,"(0.196, 1.06]"
12193,1.0,Premium,D,VS1,62.2,55.0,8333,6.46,6.4,4.0,4,7,4,"(0.196, 1.06]"
12194,0.74,Very Good,G,SI1,61.6,58.0,2690,5.78,5.81,3.57,3,4,2,"(0.196, 1.06]"
12195,1.01,Ideal,E,SI2,61.2,54.0,4751,6.52,6.49,3.98,5,6,3,"(0.196, 1.06]"
12196,0.5,Very Good,E,SI2,63.0,57.0,1098,5.01,5.05,3.17,3,6,3,"(0.196, 1.06]"
12197,0.41,Good,F,SI1,64.4,56.0,659,4.69,4.72,3.03,2,5,2,"(0.196, 1.06]"
12198,0.3,Very Good,D,VS1,62.0,55.0,863,4.31,4.35,2.68,3,7,4,"(0.196, 1.06]"
12199,0.35,Ideal,D,VS1,61.2,56.0,1035,4.54,4.58,2.79,5,7,4,"(0.196, 1.06]"
12200,2.0,Fair,H,SI1,61.2,50.0,13764,8.17,8.08,4.97,1,3,2,"(1.92, 2.78]"
12201,1.0,Premium,F,SI1,62.5,59.0,5152,6.39,6.34,3.98,4,5,2,"(0.196, 1.06]"
12202,1.72,Ideal,H,VS2,61.9,56.0,15197,7.7,7.75,4.78,5,3,5,"(1.06, 1.92]"
12203,0.5,Very Good,J,SI1,63.3,60.0,963,4.99,4.97,3.15,3,1,2,"(0.196, 1.06]"
12204,1.58,Ideal,E,SI1,61.4,55.0,11294,7.53,7.5,4.61,5,6,2,"(1.06, 1.92]"
12205,0.52,Ideal,E,VS2,62.2,56.0,1815,5.15,5.11,3.19,5,6,5,"(0.196, 1.06]"
12206,0.51,Ideal,H,VS1,61.8,57.0,1573,5.11,5.14,3.16,5,3,4,"(0.196, 1.06]"
12207,0.78,Ideal,G,SI2,61.5,56.0,2706,5.94,5.97,3.66,5,4,3,"(0.196, 1.06]"
12208,0.41,Ideal,G,VS2,62.4,55.0,827,4.73,4.76,2.96,5,4,5,"(0.196, 1.06]"
12209,0.3,Ideal,G,VS2,62.3,58.0,545,4.26,4.28,2.66,5,4,5,"(0.196, 1.06]"
12210,1.01,Premium,E,SI2,59.6,61.0,4434,6.59,6.56,3.92,4,6,3,"(0.196, 1.06]"
12211,0.32,Premium,G,VS2,60.5,58.0,561,4.41,4.42,2.67,4,4,5,"(0.196, 1.06]"
12212,1.01,Premium,F,SI2,62.2,59.0,4497,6.45,6.41,4.0,4,5,3,"(0.196, 1.06]"
12213,0.54,Ideal,H,VVS2,61.1,56.0,1696,5.23,5.28,3.21,5,3,7,"(0.196, 1.06]"
12214,0.39,Ideal,J,SI2,62.6,54.0,451,4.64,4.69,2.92,5,1,3,"(0.196, 1.06]"
12215,0.4,Premium,G,VVS2,61.3,59.0,980,4.78,4.74,2.92,4,4,7,"(0.196, 1.06]"
12216,0.57,Premium,D,VS2,61.9,58.0,2047,5.35,5.32,3.3,4,7,5,"(0.196, 1.06]"
12217,0.38,Very Good,E,VS1,58.1,59.0,1083,4.78,4.82,2.79,3,6,4,"(0.196, 1.06]"
12218,0.9,Very Good,I,SI1,62.3,56.0,3308,6.12,6.18,3.83,3,2,2,"(0.196, 1.06]"
12219,1.24,Ideal,D,VVS2,61.5,57.0,14737,6.88,6.94,4.25,5,7,7,"(1.06, 1.92]"
12220,1.21,Very Good,I,SI1,61.2,62.0,5190,6.81,6.84,4.18,3,2,2,"(1.06, 1.92]"
12221,0.52,Ideal,D,SI1,62.4,57.0,1600,5.14,5.18,3.22,5,7,2,"(0.196, 1.06]"
12222,0.71,Premium,F,VS2,62.1,58.0,2801,5.7,5.67,3.53,4,5,5,"(0.196, 1.06]"
12223,0.5,Premium,D,SI1,63.0,60.0,1588,5.06,5.03,3.18,4,7,2,"(0.196, 1.06]"
12224,0.5,Premium,G,VS1,61.1,60.0,1629,5.1,5.05,3.1,4,4,4,"(0.196, 1.06]"
12225,1.53,Very Good,J,VS1,62.8,59.0,8058,7.31,7.34,4.6,3,1,4,"(1.06, 1.92]"
12226,0.3,Ideal,D,VS2,62.2,55.0,911,4.33,4.29,2.68,5,7,5,"(0.196, 1.06]"
12227,1.71,Premium,J,VS2,60.3,61.0,8887,7.74,7.69,4.65,4,1,5,"(1.06, 1.92]"
12228,1.51,Ideal,F,SI2,62.6,55.0,9471,7.39,7.35,4.61,5,5,3,"(1.06, 1.92]"
12229,0.7,Very Good,F,VVS2,58.7,63.0,3234,5.82,5.79,3.41,3,5,7,"(0.196, 1.06]"
12230,0.77,Ideal,F,SI1,61.7,56.0,3702,5.85,5.91,3.63,5,5,2,"(0.196, 1.06]"
12231,0.61,Good,F,VS1,60.0,65.0,2196,5.53,5.47,3.3,2,5,4,"(0.196, 1.06]"
12232,1.59,Ideal,H,SI1,61.4,55.0,10284,7.56,7.51,4.63,5,3,2,"(1.06, 1.92]"
12233,2.14,Premium,I,VS2,62.3,58.0,17416,8.22,8.16,5.1,4,2,5,"(1.92, 2.78]"
12234,0.41,Premium,H,SI1,60.5,58.0,683,4.81,4.85,2.92,4,3,2,"(0.196, 1.06]"
12235,0.3,Premium,F,VS2,60.4,58.0,776,4.33,4.31,2.61,4,5,5,"(0.196, 1.06]"
12236,0.38,Ideal,E,VS2,60.1,56.0,1112,4.72,4.69,2.83,5,6,5,"(0.196, 1.06]"
12237,0.33,Ideal,D,SI1,60.9,56.0,736,4.46,4.5,2.73,5,7,2,"(0.196, 1.06]"
12238,0.28,Very Good,F,VVS1,61.5,56.0,707,4.24,4.27,2.61,3,5,6,"(0.196, 1.06]"
12239,0.61,Very Good,D,VS1,60.9,56.0,2481,5.49,5.51,3.35,3,7,4,"(0.196, 1.06]"
12240,0.35,Premium,I,SI1,62.5,58.0,606,4.53,4.49,2.82,4,2,2,"(0.196, 1.06]"
12241,0.54,Ideal,F,SI2,61.2,56.0,1162,5.27,5.28,3.23,5,5,3,"(0.196, 1.06]"
12242,1.01,Premium,F,SI2,62.6,60.0,4416,6.35,6.37,3.98,4,5,3,"(0.196, 1.06]"
12243,1.0,Very Good,F,SI2,59.9,61.0,4255,6.42,6.46,3.86,3,5,3,"(0.196, 1.06]"
12244,0.3,Very Good,F,VVS2,62.4,58.0,737,4.25,4.28,2.66,3,5,7,"(0.196, 1.06]"
12245,0.51,Very Good,E,SI1,59.4,57.0,1284,5.2,5.24,3.1,3,6,2,"(0.196, 1.06]"
12246,0.7,Very Good,J,VS2,58.2,60.0,1896,5.86,5.9,3.42,3,1,5,"(0.196, 1.06]"
12247,0.3,Very Good,D,VS2,62.8,57.0,710,4.25,4.29,2.68,3,7,5,"(0.196, 1.06]"
12248,1.62,Premium,H,SI2,63.0,58.0,6350,7.47,7.41,4.69,4,3,3,"(1.06, 1.92]"
12249,1.03,Ideal,E,SI1,62.0,53.0,5608,6.47,6.5,4.02,5,6,2,"(0.196, 1.06]"
12250,0.41,Ideal,D,VS1,61.2,57.0,1018,4.77,4.81,2.93,5,7,4,"(0.196, 1.06]"
12251,1.01,Very Good,I,SI1,62.1,58.0,3888,6.38,6.44,3.98,3,2,2,"(0.196, 1.06]"
12252,0.74,Fair,H,SI2,62.0,53.0,1962,5.85,5.74,3.6,1,3,3,"(0.196, 1.06]"
12253,0.3,Ideal,H,IF,62.0,57.0,764,4.26,4.29,2.65,5,3,8,"(0.196, 1.06]"
12254,0.7,Fair,H,SI1,65.0,59.0,1803,5.54,5.5,3.59,1,3,2,"(0.196, 1.06]"
12255,1.73,Premium,E,SI1,62.6,58.0,16253,7.67,7.59,4.78,4,6,2,"(1.06, 1.92]"
12256,1.28,Premium,H,SI2,60.2,60.0,5376,6.97,6.93,4.31,4,3,3,"(1.06, 1.92]"
12257,1.09,Ideal,G,VS2,60.9,57.0,6617,6.69,6.72,4.08,5,4,5,"(1.06, 1.92]"
12258,0.37,Ideal,F,VVS1,61.3,56.0,997,4.65,4.68,2.86,5,5,6,"(0.196, 1.06]"
12259,1.36,Premium,I,SI2,62.7,58.0,5856,7.01,7.08,4.42,4,2,3,"(1.06, 1.92]"
12260,0.32,Very Good,F,VVS1,61.9,59.0,926,4.34,4.39,2.7,3,5,6,"(0.196, 1.06]"
12261,0.76,Very Good,G,VS2,59.8,58.0,2726,5.92,5.96,3.55,3,4,5,"(0.196, 1.06]"
12262,0.57,Ideal,F,SI1,61.9,56.0,1759,5.33,5.37,3.31,5,5,2,"(0.196, 1.06]"
12263,0.32,Ideal,G,IF,60.5,57.0,1020,4.44,4.42,2.68,5,4,8,"(0.196, 1.06]"
12264,0.36,Premium,E,VS2,62.5,58.0,878,4.57,4.52,2.84,4,6,5,"(0.196, 1.06]"
12265,1.14,Ideal,G,VS2,61.5,57.0,7171,6.72,6.68,4.12,5,4,5,"(1.06, 1.92]"
12266,1.7,Ideal,I,VS1,62.2,55.0,12737,7.67,7.63,4.76,5,2,4,"(1.06, 1.92]"
12267,0.7,Very Good,J,VS2,63.2,61.0,1940,5.62,5.59,3.54,3,1,5,"(0.196, 1.06]"
12268,0.5,Fair,D,VS2,66.9,57.0,1431,4.95,4.83,3.27,1,7,5,"(0.196, 1.06]"
12269,0.3,Ideal,E,VS2,62.1,55.0,844,4.35,4.32,2.69,5,6,5,"(0.196, 1.06]"
12270,0.3,Ideal,I,VVS1,62.4,56.0,552,4.3,4.32,2.69,5,2,6,"(0.196, 1.06]"
12271,0.53,Premium,E,SI1,61.8,60.0,2099,5.21,5.18,3.21,4,6,2,"(0.196, 1.06]"
12272,0.31,Ideal,G,VS2,61.8,57.0,544,4.34,4.36,2.69,5,4,5,"(0.196, 1.06]"
12273,1.01,Good,E,SI2,63.9,55.0,4440,6.38,6.33,4.08,2,6,3,"(0.196, 1.06]"
12274,0.3,Very Good,F,SI1,63.5,57.0,641,4.27,4.24,2.7,3,5,2,"(0.196, 1.06]"
12275,0.56,Ideal,D,SI1,61.9,57.0,2053,5.27,5.3,3.27,5,7,2,"(0.196, 1.06]"
12276,0.59,Ideal,E,VS2,61.5,56.0,1789,5.38,5.42,3.32,5,6,5,"(0.196, 1.06]"
12277,0.31,Ideal,E,VVS2,61.4,56.0,766,4.36,4.4,2.69,5,6,7,"(0.196, 1.06]"
12278,1.11,Ideal,H,SI2,62.0,54.0,4578,6.61,6.64,4.11,5,3,3,"(1.06, 1.92]"
12279,1.62,Ideal,E,VS2,61.4,57.0,16507,7.58,7.54,4.64,5,6,5,"(1.06, 1.92]"
12280,1.23,Very Good,D,SI1,59.7,58.0,7799,6.96,7.02,4.17,3,7,2,"(1.06, 1.92]"
12281,0.41,Ideal,J,VVS1,61.2,57.0,775,4.79,4.82,2.94,5,1,6,"(0.196, 1.06]"
12282,0.78,Very Good,E,VS1,61.5,60.0,3898,5.86,5.92,3.62,3,6,4,"(0.196, 1.06]"
12283,0.32,Premium,I,VS2,62.6,58.0,576,4.42,4.37,2.75,4,2,5,"(0.196, 1.06]"
12284,0.71,Very Good,G,SI1,61.6,61.0,2515,5.7,5.72,3.52,3,4,2,"(0.196, 1.06]"
12285,1.01,Ideal,G,VS2,61.6,57.0,6159,6.41,6.44,3.96,5,4,5,"(0.196, 1.06]"
12286,0.59,Ideal,E,SI1,61.4,56.0,1789,5.39,5.36,3.3,5,6,2,"(0.196, 1.06]"
12287,0.31,Ideal,E,VVS2,61.4,57.0,791,4.37,4.39,2.69,5,6,7,"(0.196, 1.06]"
12288,2.02,Premium,I,SI2,61.7,58.0,14350,8.07,8.0,4.96,4,2,3,"(1.92, 2.78]"
12289,0.33,Good,H,SI2,63.5,57.0,416,4.36,4.39,2.78,2,3,3,"(0.196, 1.06]"
12290,0.32,Premium,F,VS2,59.7,59.0,645,4.41,4.44,2.64,4,5,5,"(0.196, 1.06]"
12291,1.5,Good,G,SI2,57.9,61.0,6006,7.52,7.48,4.35,2,4,3,"(1.06, 1.92]"
12292,0.53,Ideal,F,VVS2,62.2,54.0,2175,5.19,5.22,3.24,5,5,7,"(0.196, 1.06]"
12293,0.64,Ideal,G,IF,61.7,58.0,2960,5.52,5.56,3.42,5,4,8,"(0.196, 1.06]"
12294,0.31,Ideal,F,IF,60.7,56.0,901,4.42,4.45,2.69,5,5,8,"(0.196, 1.06]"
12295,0.32,Ideal,H,VVS2,61.5,55.0,628,4.41,4.44,2.72,5,3,7,"(0.196, 1.06]"
12296,1.19,Ideal,J,SI1,62.0,56.0,4678,6.8,6.77,4.21,5,1,2,"(1.06, 1.92]"
12297,0.41,Very Good,J,VS1,61.8,56.0,693,4.75,4.79,2.95,3,1,4,"(0.196, 1.06]"
12298,0.92,Ideal,G,SI1,62.6,56.0,4173,6.21,6.19,3.88,5,4,2,"(0.196, 1.06]"
12299,1.07,Ideal,G,VVS2,62.8,54.0,8212,6.51,6.55,4.1,5,4,7,"(1.06, 1.92]"
12300,0.53,Ideal,H,IF,62.0,54.0,1949,5.22,5.27,3.25,5,3,8,"(0.196, 1.06]"
12301,1.01,Very Good,E,SI2,60.4,60.0,4352,6.48,6.57,3.94,3,6,3,"(0.196, 1.06]"
12302,2.0,Premium,J,VS2,62.9,60.0,11966,7.99,7.95,5.01,4,1,5,"(1.92, 2.78]"
12303,0.72,Ideal,F,VVS1,60.8,56.0,5006,5.81,5.83,3.54,5,5,6,"(0.196, 1.06]"
12304,1.22,Premium,E,I1,60.9,57.0,2862,6.93,6.88,4.21,4,6,1,"(1.06, 1.92]"
12305,1.06,Ideal,F,SI1,62.1,57.0,5655,6.51,6.53,4.05,5,5,2,"(0.196, 1.06]"
12306,1.12,Ideal,G,VS1,61.5,56.0,8202,6.7,6.73,4.13,5,4,4,"(1.06, 1.92]"
12307,0.61,Ideal,F,VS2,61.5,54.0,2306,5.48,5.51,3.38,5,5,5,"(0.196, 1.06]"
12308,0.41,Premium,G,VS2,61.4,59.0,1061,4.79,4.75,2.93,4,4,5,"(0.196, 1.06]"
12309,0.87,Premium,F,SI2,61.6,58.0,2999,6.14,6.1,3.77,4,5,3,"(0.196, 1.06]"
12310,0.23,Very Good,F,VS1,60.9,57.0,357,3.96,3.99,2.42,3,5,4,"(0.196, 1.06]"
12311,0.31,Very Good,G,VS1,61.9,54.0,640,4.36,4.4,2.71,3,4,4,"(0.196, 1.06]"
12312,0.41,Good,G,SI2,63.7,55.0,570,4.7,4.75,3.01,2,4,3,"(0.196, 1.06]"
12313,1.7,Premium,H,SI1,61.8,61.0,11848,7.59,7.52,4.67,4,3,2,"(1.06, 1.92]"
12314,0.39,Premium,E,VS2,62.5,60.0,951,4.67,4.64,2.91,4,6,5,"(0.196, 1.06]"
12315,0.46,Ideal,G,IF,61.7,56.0,1987,4.97,5.01,3.08,5,4,8,"(0.196, 1.06]"
12316,0.41,Premium,G,VS1,61.5,58.0,961,4.8,4.76,2.94,4,4,4,"(0.196, 1.06]"
12317,1.2,Very Good,H,VS2,63.3,57.0,6000,6.78,6.68,4.26,3,3,5,"(1.06, 1.92]"
12318,1.14,Ideal,I,VS2,62.9,56.0,5075,6.71,6.67,4.21,5,2,5,"(1.06, 1.92]"
12319,0.25,Premium,E,VVS2,62.5,59.0,740,4.05,4.02,2.52,4,6,7,"(0.196, 1.06]"
12320,0.57,Very Good,E,VVS2,60.0,61.0,2485,5.36,5.44,3.24,3,6,7,"(0.196, 1.06]"
12321,0.31,Ideal,F,IF,61.9,54.0,901,4.38,4.41,2.72,5,5,8,"(0.196, 1.06]"
12322,0.7,Very Good,F,VS2,61.7,63.0,2762,5.64,5.61,3.47,3,5,5,"(0.196, 1.06]"
12323,0.79,Ideal,F,SI1,62.5,57.0,2976,5.88,5.92,3.69,5,5,2,"(0.196, 1.06]"
12324,0.8,Ideal,E,SI1,61.0,57.0,3890,6.0,6.03,3.67,5,6,2,"(0.196, 1.06]"
12325,2.02,Very Good,J,SI1,63.5,60.0,12915,7.98,7.93,5.05,3,1,2,"(1.92, 2.78]"
12326,0.7,Good,F,SI1,63.1,64.0,2058,5.58,5.61,3.53,2,5,2,"(0.196, 1.06]"
12327,0.72,Very Good,G,VVS2,62.5,58.0,2889,5.68,5.72,3.56,3,4,7,"(0.196, 1.06]"
12328,0.3,Premium,G,VVS2,60.6,58.0,878,4.36,4.35,2.64,4,4,7,"(0.196, 1.06]"
12329,0.7,Premium,F,VS2,62.6,61.0,2717,5.66,5.61,3.53,4,5,5,"(0.196, 1.06]"
12330,0.73,Ideal,G,SI1,61.7,57.0,3089,5.78,5.81,3.57,5,4,2,"(0.196, 1.06]"
12331,1.71,Premium,I,SI2,60.6,57.0,9760,7.78,7.71,4.69,4,2,3,"(1.06, 1.92]"
12332,0.31,Ideal,D,VS2,61.9,56.0,942,4.38,4.37,2.71,5,7,5,"(0.196, 1.06]"
12333,0.34,Ideal,E,VS1,62.1,56.0,805,4.48,4.5,2.79,5,6,4,"(0.196, 1.06]"
12334,1.01,Very Good,F,SI2,63.4,56.0,4355,6.4,6.34,4.04,3,5,3,"(0.196, 1.06]"
12335,1.17,Ideal,I,SI2,62.2,56.0,4488,6.72,6.79,4.2,5,2,3,"(1.06, 1.92]"
12336,0.84,Very Good,D,SI2,63.6,57.0,3145,5.95,6.0,3.8,3,7,3,"(0.196, 1.06]"
12337,0.42,Premium,E,VS2,61.0,59.0,1024,4.85,4.82,2.95,4,6,5,"(0.196, 1.06]"
12338,0.9,Ideal,H,VS1,61.9,56.0,4689,6.17,6.23,3.84,5,3,4,"(0.196, 1.06]"
12339,0.26,Very Good,E,VVS1,61.4,58.0,597,4.12,4.15,2.54,3,6,6,"(0.196, 1.06]"
12340,0.32,Ideal,I,VS2,63.0,57.0,576,4.37,4.33,2.74,5,2,5,"(0.196, 1.06]"
12341,0.79,Very Good,I,SI1,61.8,60.0,2296,5.92,5.96,3.67,3,2,2,"(0.196, 1.06]"
12342,0.82,Ideal,I,VS1,61.4,57.0,2557,5.98,6.03,3.69,5,2,4,"(0.196, 1.06]"
12343,0.35,Ideal,E,SI1,60.9,55.0,788,4.57,4.53,2.77,5,6,2,"(0.196, 1.06]"
12344,0.32,Premium,G,VVS2,62.6,58.0,936,4.37,4.35,2.73,4,4,7,"(0.196, 1.06]"
12345,1.19,Premium,H,VS2,61.1,58.0,6944,6.83,6.78,4.16,4,3,5,"(1.06, 1.92]"
12346,0.34,Very Good,D,VS2,60.0,59.0,730,4.5,4.56,2.72,3,7,5,"(0.196, 1.06]"
12347,0.31,Premium,D,VS2,61.7,59.0,734,4.31,4.34,2.67,4,7,5,"(0.196, 1.06]"
12348,0.54,Premium,F,SI1,62.3,58.0,1693,5.26,5.2,3.26,4,5,2,"(0.196, 1.06]"
12349,0.3,Ideal,F,VVS2,61.5,55.0,694,4.33,4.35,2.67,5,5,7,"(0.196, 1.06]"
12350,0.24,Very Good,F,VVS2,62.1,58.0,478,3.96,4.03,2.48,3,5,7,"(0.196, 1.06]"
12351,0.23,Very Good,H,VVS2,62.0,55.0,378,3.93,3.95,2.44,3,3,7,"(0.196, 1.06]"
12352,1.05,Premium,E,I1,62.2,61.0,3293,6.51,6.48,4.04,4,6,1,"(0.196, 1.06]"
12353,0.37,Good,E,VS1,63.3,56.0,818,4.58,4.61,2.91,2,6,4,"(0.196, 1.06]"
12354,0.62,Ideal,E,VS2,62.0,54.5,2208,5.46,5.48,3.39,5,6,5,"(0.196, 1.06]"
12355,1.52,Ideal,H,SI1,60.1,60.0,9235,7.5,7.42,4.48,5,3,2,"(1.06, 1.92]"
12356,1.6,Ideal,F,SI2,61.7,56.0,10662,7.53,7.5,4.64,5,5,3,"(1.06, 1.92]"
12357,0.32,Ideal,G,VS1,62.4,56.0,679,4.37,4.38,2.73,5,4,4,"(0.196, 1.06]"
12358,0.41,Ideal,E,VVS2,62.2,54.0,1243,4.79,4.76,2.97,5,6,7,"(0.196, 1.06]"
12359,2.51,Very Good,E,SI2,63.1,56.0,16717,8.65,8.6,5.44,3,6,3,"(1.92, 2.78]"
12360,0.39,Ideal,G,IF,61.7,55.0,1154,4.68,4.72,2.9,5,4,8,"(0.196, 1.06]"
12361,0.57,Ideal,E,VVS2,62.0,57.0,2447,5.29,5.33,3.29,5,6,7,"(0.196, 1.06]"
12362,0.31,Ideal,H,VS2,62.6,57.0,489,4.31,4.35,2.71,5,3,5,"(0.196, 1.06]"
12363,0.3,Good,D,SI2,63.2,57.0,447,4.21,4.24,2.67,2,7,3,"(0.196, 1.06]"
12364,1.6,Ideal,I,SI2,61.9,57.0,8530,7.51,7.48,4.64,5,2,3,"(1.06, 1.92]"
12365,0.8,Ideal,D,SI2,61.9,54.0,3682,5.98,5.96,3.7,5,7,3,"(0.196, 1.06]"
12366,1.07,Ideal,G,VS1,61.8,57.0,6917,6.58,6.52,4.05,5,4,4,"(1.06, 1.92]"
12367,1.27,Ideal,F,VS2,61.0,54.0,10656,7.0,7.02,4.28,5,5,5,"(1.06, 1.92]"
12368,0.7,Ideal,F,VS1,61.2,58.0,3154,5.7,5.73,3.5,5,5,4,"(0.196, 1.06]"
12369,0.77,Ideal,D,SI1,60.8,57.0,3309,5.9,5.94,3.6,5,7,2,"(0.196, 1.06]"
12370,1.2,Ideal,F,VVS1,61.1,55.0,13088,6.86,6.89,4.2,5,5,6,"(1.06, 1.92]"
12371,1.05,Ideal,E,VS1,62.6,57.0,7762,6.5,6.44,4.05,5,6,4,"(0.196, 1.06]"
12372,1.2,Ideal,G,VS2,62.8,57.0,7243,6.78,6.72,4.24,5,4,5,"(1.06, 1.92]"
12373,0.36,Ideal,H,VVS2,62.3,57.0,932,4.57,4.52,2.83,5,3,7,"(0.196, 1.06]"
12374,1.0,Good,H,VS1,61.8,61.0,5219,6.4,6.31,3.93,2,3,4,"(0.196, 1.06]"
12375,0.3,Premium,D,VS2,62.0,59.0,911,4.27,4.22,2.63,4,7,5,"(0.196, 1.06]"
12376,1.07,Premium,G,SI2,59.9,59.0,4278,6.67,6.61,3.98,4,4,3,"(1.06, 1.92]"
12377,0.39,Ideal,G,VVS2,62.0,54.5,952,4.67,4.7,2.91,5,4,7,"(0.196, 1.06]"
12378,0.79,Ideal,D,SI1,61.5,56.0,2846,5.96,5.91,3.65,5,7,2,"(0.196, 1.06]"
12379,0.63,Very Good,G,VS1,61.5,56.0,1960,5.53,5.49,3.39,3,4,4,"(0.196, 1.06]"
12380,1.24,Premium,H,VS1,62.2,59.0,7222,6.9,6.83,4.27,4,3,4,"(1.06, 1.92]"
12381,0.32,Very Good,H,VVS1,62.9,57.0,730,4.33,4.38,2.74,3,3,6,"(0.196, 1.06]"
12382,0.54,Ideal,G,VS2,61.9,57.0,1637,5.23,5.18,3.22,5,4,5,"(0.196, 1.06]"
12383,0.54,Ideal,G,SI1,61.8,58.0,1350,5.21,5.27,3.24,5,4,2,"(0.196, 1.06]"
12384,1.01,Premium,G,SI1,61.5,59.0,5006,6.48,6.43,3.97,4,4,2,"(0.196, 1.06]"
12385,0.37,Premium,E,VS1,60.4,58.0,876,4.61,4.66,2.8,4,6,4,"(0.196, 1.06]"
12386,0.6,Very Good,F,VS2,60.8,56.0,2270,5.45,5.48,3.32,3,5,5,"(0.196, 1.06]"
12387,0.41,Good,E,SI1,59.5,62.0,760,4.85,4.87,2.89,2,6,2,"(0.196, 1.06]"
12388,1.22,Ideal,I,SI1,61.7,55.2,6062,6.84,6.9,4.24,5,2,2,"(1.06, 1.92]"
12389,1.09,Premium,G,SI2,60.7,57.0,4047,6.72,6.62,4.06,4,4,3,"(1.06, 1.92]"
12390,0.3,Ideal,F,VS2,61.6,57.0,605,4.28,4.32,2.65,5,5,5,"(0.196, 1.06]"
12391,0.28,Very Good,E,VS2,62.7,58.0,487,4.15,4.18,2.61,3,6,5,"(0.196, 1.06]"
12392,0.3,Very Good,H,VS1,63.0,58.0,526,4.23,4.28,2.68,3,3,4,"(0.196, 1.06]"
12393,0.53,Ideal,G,VVS1,61.3,56.0,2015,5.22,5.26,3.21,5,4,6,"(0.196, 1.06]"
12394,0.56,Ideal,G,VS1,62.2,55.0,1819,5.27,5.31,3.29,5,4,4,"(0.196, 1.06]"
